Country;Christian;Muslim;Unaffiliated;Hindu;Buddhist;Folk Religions;Other Religions;Jewish
Suriname;51.60 %;15.20 %;5.40 %;19.80 %;0.60 %;5.30 %;1.80 %;0.20 %
Swaziland;88.10 %;0.20 %;10.10 %;0.10 %;< 0.1%;1.00 %;0.40 %;< 0.1%
Sweden;67.20 %;4.60 %;27.00 %;0.20 %;0.40 %;0.20 %;0.20 %;0.10 %
Switzerland;81.30 %;5.50 %;11.90 %;0.40 %;0.40 %;< 0.1%;0.10 %;0.30 %
Syria;5.20 %;92.80 %;2.00 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Taiwan;5.50 %;< 0.1%;12.70 %;< 0.1%;21.30 %;44.20 %;16.20 %;< 0.1%
Tajikistan;1.60 %;96.70 %;1.50 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Tanzania;61.40 %;35.20 %;1.40 %;0.10 %;< 0.1%;1.80 %;< 0.1%;< 0.1%
Thailand;0.90 %;5.50 %;0.30 %;0.10 %;93.20 %;< 0.1%;< 0.1%;< 0.1%
Timor-Leste;> 99.0%;0.10 %;< 0.1%;< 0.1%;< 0.1%;0.10 %;< 0.1%;< 0.1%
Togo;43.70 %;14.00 %;6.20 %;< 0.1%;< 0.1%;35.60 %;0.60 %;< 0.1%
Tokelau;> 99.0%;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%;0.20 %;< 0.1%
Tonga;98.90 %;< 0.1%;< 0.1%;0.10 %;< 0.1%;< 0.1%;0.90 %;< 0.1%
Trinidad and Tobago;65.90 %;5.90 %;1.90 %;22.70 %;0.30 %;1.90 %;1.40 %;< 0.1%
Tunisia;0.20 %;> 99.0%;0.20 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Turkey;0.40 %;98.00 %;1.20 %;< 0.1%;< 0.1%;< 0.1%;0.20 %;< 0.1%
Turkmenistan;6.40 %;93.00 %;0.50 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Turks and Caicos Islands;92.10 %;< 0.1%;4.60 %;< 0.1%;< 0.1%;2.70 %;0.60 %;< 0.1%
Tuvalu;96.70 %;0.10 %;1.30 %;< 0.1%;< 0.1%;< 0.1%;1.90 %;< 0.1%
Uganda;86.70 %;11.50 %;0.50 %;0.30 %;< 0.1%;0.90 %;0.10 %;< 0.1%
Ukraine;83.80 %;1.20 %;14.70 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;0.10 %
United Arab Emirates;12.60 %;76.90 %;1.10 %;6.60 %;2.00 %;< 0.1%;0.80 %;< 0.1%
United Kingdom;71.10 %;4.40 %;21.30 %;1.30 %;0.40 %;0.30 %;0.80 %;0.50 %
United States;78.30 %;0.90 %;16.40 %;0.60 %;1.20 %;0.20 %;0.60 %;1.80 %
Uruguay;57.90 %;< 0.1%;40.70 %;< 0.1%;< 0.1%;0.80 %;0.30 %;0.30 %
U.S. Virgin Islands;94.80 %;0.10 %;3.70 %;0.40 %;< 0.1%;< 0.1%;0.60 %;0.30 %
Uzbekistan;2.30 %;96.70 %;0.80 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Vanuatu;93.30 %;< 0.1%;1.20 %;< 0.1%;< 0.1%;4.10 %;1.40 %;< 0.1%
Vatican City;> 99.0%;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Venezuela;89.30 %;0.30 %;10.00 %;< 0.1%;< 0.1%;0.20 %;< 0.1%;< 0.1%
Vietnam;8.20 %;0.20 %;29.60 %;< 0.1%;16.40 %;45.30 %;0.40 %;< 0.1%
Wallis and Futuna;97.40 %;< 0.1%;0.60 %;< 0.1%;< 0.1%;1.20 %;0.80 %;< 0.1%
Western Sahara;0.20 %;> 99.0%;0.40 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Yemen;0.20 %;> 99.0%;0.10 %;0.60 %;< 0.1%;< 0.1%;< 0.1%;< 0.1%
Zambia;97.60 %;0.50 %;0.50 %;0.10 %;< 0.1%;0.30 %;0.90 %;< 0.1%
Zimbabwe;87.00 %;0.90 %;7.90 %;< 0.1%;< 0.1%;3.80 %;0.30 %;< 0.1%
